OFFICE NAME,OFFICE STATUS,PINCODE,TELEPHONE NO.,TALUK,DISTRICT,STATE/U.T.,POSTAL DIVISION,POSTAL REGION,POSTAL CIRCLE
                                                                                                            ,,                                          (THE INFORMATION IS SORTED DISTRICT AND TALUK WISE),,,,,,,
,,,,,,,,,
N. Longidong B.O,Branch Post Office,797111,,WOKHA,WOKHA,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Nyiro B.O,Branch Post Office,797111,,WOKHA,WOKHA,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Pangti B.O,Branch Post Office,797100,,WOKHA,WOKHA,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Pongitong B.O,Branch Post Office,797111,,WOKHA,WOKHA,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Sungro B.O,Branch Post Office,797100,,WOKHA,WOKHA,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Tsungtsutong B.O,Branch Post Office,797111,,WOKHA,WOKHA,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Wokha S.O,Sub Post Office,797111,,WOKHA,WOKHA,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Wokha Village B.O,Branch Post Office,797111,,WOKHA,WOKHA,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Wozhru B.O,Branch Post Office,797111,,WOKHA,WOKHA,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Yikhum B.O,Branch Post Office,797111,,WOKHA,WOKHA,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Aizuto B.O,Branch Post Office,798619,,AKULUTO,ZUNHEBOTTO,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Akuhaito B.O,Branch Post Office,798619,,Akuluto,ZUNHEBOTTO,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Asukuto B.O,Branch Post Office,798619,,AKULUTO,ZUNHEBOTTO,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Aghunato B.O,Branch Post Office,798620,,ZUNHEBOTO,ZUNHEBOTTO,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Akuluto S.O,Sub Post Office,798619,0369-2260242,ZUNHEBOTO,ZUNHEBOTTO,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Asukhomi B.O,Branch Post Office,798620,,ZUNHEBOTO,ZUNHEBOTTO,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Asuto B.O,Branch Post Office,798620,,ZUNHEBOTO,ZUNHEBOTTO,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Hosephu B.O,Branch Post Office,798620,,ZUNHEBOTO,ZUNHEBOTTO,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Kichilimi B.O,Branch Post Office,798620,,ZUNHEBOTO,ZUNHEBOTTO,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Phisami B.O,Branch Post Office,798620,,ZUNHEBOTO,ZUNHEBOTTO,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Saghemi B.O,Branch Post Office,798620,,ZUNHEBOTO,ZUNHEBOTTO,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Satakha B.O,Branch Post Office,798620,,ZUNHEBOTO,ZUNHEBOTTO,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Satami B.O,Branch Post Office,798620,,ZUNHEBOTO,ZUNHEBOTTO,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Satoi B.O,Branch Post Office,798620,,ZUNHEBOTO,ZUNHEBOTTO,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Suruhuto B.O,Branch Post Office,798620,,ZUNHEBOTO,ZUNHEBOTTO,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Surumi B.O,Branch Post Office,798620,,ZUNHEBOTO,ZUNHEBOTTO,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Tokiye B.O,Branch Post Office,798620,,ZUNHEBOTO,ZUNHEBOTTO,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Zunheboto S.O,Sub Post Office,798620,,ZUNHEBOTO,ZUNHEBOTTO,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
