OFFICE NAME,OFFICE STATUS,PINCODE,TELEPHONE NO.,TALUK,DISTRICT,STATE/U.T.,POSTAL DIVISION,POSTAL REGION,POSTAL CIRCLE
                                                                                                            ,,                                          (THE INFORMATION IS SORTED DISTRICT AND TALUK WISE),,,,,,,
,,,,,,,,,
Karanpathar B.O,Branch Post Office,484881,,Pushparajgarh,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Karaundi B.O,Branch Post Office,484881,,Pushparajgarh,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Karpa B.O,Branch Post Office,484881,,Pushparajgarh,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Khamraundh B.O,Branch Post Office,484881,,Pushparajgarh,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Khati B.O,Branch Post Office,484886,,Pushparajgarh,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Koilari B.O,Branch Post Office,484881,,Pushparajgarh,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Lakhaura B.O,Branch Post Office,484881,,Pushparajgarh,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Lamsarai B.O,Branch Post Office,484881,,Pushparajgarh,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Seorichandas B.O,Branch Post Office,484881,,Pushparajgarh,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Tulra B.O,Branch Post Office,484881,,Pushparajgarh,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Ufrikala B.O,Branch Post Office,484881,,Pushparajgarh,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Umania B.O,Branch Post Office,484886,,Pushparajgarh,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Rajendragram S.O,Sub Post Office,484881,07629-268625,Pushprajgarh,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
