OFFICE NAME,OFFICE STATUS,PINCODE,TELEPHONE NO.,TALUK,DISTRICT,STATE/U.T.,POSTAL DIVISION,POSTAL REGION,POSTAL CIRCLE
                                                                                                            ,,                                          (THE INFORMATION IS SORTED DISTRICT AND TALUK WISE),,,,,,,
,,,,,,,,,
Abango B.O,Branch Post Office,792110,,ROING,LOWER DIBANG VALLEY,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Anupam B.O,Branch Post Office,792110,,ROING,LOWER DIBANG VALLEY,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Bijari B.O,Branch Post Office,792110,,ROING,LOWER DIBANG VALLEY,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Bolung B.O,Branch Post Office,792110,,ROING,LOWER DIBANG VALLEY,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Bomjir B.O,Branch Post Office,792110,,ROING,LOWER DIBANG VALLEY,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Dambuk B.O,Branch Post Office,792110,,ROING,LOWER DIBANG VALLEY,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Desali B.O,Branch Post Office,792110,,ROING,LOWER DIBANG VALLEY,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Elopa B.O,Branch Post Office,792110,,ROING,LOWER DIBANG VALLEY,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Etalin B.O,Branch Post Office,792110,,ROING,LOWER DIBANG VALLEY,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Hunli B.O,Branch Post Office,792110,,ROING,LOWER DIBANG VALLEY,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Iduli B.O,Branch Post Office,792110,,ROING,LOWER DIBANG VALLEY,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Jia B.O,Branch Post Office,792110,,ROING,LOWER DIBANG VALLEY,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Koranu B.O,Branch Post Office,792110,,ROING,LOWER DIBANG VALLEY,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Kronli B.O,Branch Post Office,792110,,ROING,LOWER DIBANG VALLEY,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Meka B.O,Branch Post Office,792110,,ROING,LOWER DIBANG VALLEY,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Paglam B.O,Branch Post Office,792110,,ROING,LOWER DIBANG VALLEY,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Parbuk B.O,Branch Post Office,792110,,ROING,LOWER DIBANG VALLEY,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Roing S.O,Sub Post Office,792110,,ROING,LOWER DIBANG VALLEY,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Santipur B.O,Branch Post Office,792110,,ROING,LOWER DIBANG VALLEY,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Chimpu B.O,Branch Post Office,791113,,ITANAGAR,LOWER SUBANSIRI,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Ranga Nadi Project S.O,Sub Post Office,791119,,R N PROJECT,LOWER SUBANSIRI,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Boasimla B.O,Branch Post Office,791120,,ZIRO,LOWER SUBANSIRI,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Deed B.O,Branch Post Office,791120,,ZIRO,LOWER SUBANSIRI,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Godak B.O,Branch Post Office,791120,,ZIRO,LOWER SUBANSIRI,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
